
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2234,Derrick Rose,2010-11,22,CHI,NBA,81,81,3026,8.5,19.0,6.9,14.4,1.5,4.6,5.7,6.6,1.0,3.0,3.9,7.4,1.0,0.6,3.3,1.6,24.1,.445,.481,.332,.485,.858,.550
2235,Derrick Rose,2015-16,27,CHI,NBA,66,66,2097,7.7,18.0,6.9,15.4,0.8,2.6,2.4,3.1,0.8,3.1,3.9,5.3,0.8,0.2,3.0,1.4,18.5,.427,.449,.293,.448,.793,.479
2236,Sean Rooks,1992-93,23,DAL,NBA,72,68,2087,6.3,12.9,6.3,12.9,0.0,0.0,4.0,6.7,3.4,5.9,9.2,1.6,0.7,1.4,2.8,3.5,16.7,.493,.494,.000,.493,.602,.528
2237,Sean Rooks,1994-95,25,MIN,NBA,80,70,2405,4.3,9.2,4.3,9.1,0.0,0.1,4.3,5.7,2.5,4.8,7.3,1.5,0.4,1.1,2.1,3.1,13.0,.470,.474,.000,.470,.761,.555
2238,Sean Rooks,1999-00,30,DAL,NBA,71,13,1001,4.4,10.2,4.4,10.2,0.0,0.0,2.3,3.2,2.9,6.0,8.9,2.4,1.0,1.9,2.5,6.1,11.1,.431,.431,,.431,.730,.480
2239,Sean Rooks,2000-01,31,LAC,NBA,82,0,1553,3.9,9.2,3.9,9.1,0.0,0.0,2.5,3.3,2.1,4.9,7.0,1.8,0.8,1.5,1.7,4.6,10.3,.428,.427,.500,.429,.748,.487
2240,Sean Rooks,2002-03,33,LAC,NBA,70,38,1344,3.3,8.0,3.3,7.9,0.0,0.0,1.3,1.6,1.4,4.4,5.8,1.8,0.9,1.2,1.8,4.7,8.0,.421,.422,.000,.421,.810,.460
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2241,Rajon Rondo,2006-07,20,BOS,NBA,78,25,1831,3.7,8.8,3.6,8.3,0.1,0.6,2.3,3.6,1.5,4.3,5.7,5.8,2.5,0.2,2.7,3.6,9.9,.418,.432,.207,.424,.647,.472
2242,Rajon Rondo,2007-08,21,BOS,NBA,77,77,2306,5.5,11.1,5.4,10.8,0.1,0.3,1.7,2.7,1.2,3.8,5.0,6.1,2.0,0.2,2.3,2.9,12.7,.492,.499,.263,.496,.611,.515
2243,Rajon Rondo,2008-09,22,BOS,NBA,80,80,2642,5.2,10.3,5.0,9.7,0.2,0.7,2.3,3.7,1.4,4.3,5.7,9.0,2.0,0.1,2.8,2.6,13.0,.505,.518,.313,.514,.642,.543
2244,Rajon Rondo,2009-10,23,BOS,NBA,81,81,2963,5.6,11.0,5.4,10.0,0.2,1.0,2.1,3.4,1.2,3.2,4.4,9.6,2.3,0.1,3.0,2.4,13.5,.508,.536,.213,.517,.621,.540
2245,Rajon Rondo,2010-11,24,BOS,NBA,68,68,2527,4.5,9.5,4.4,8.9,0.1,0.6,1.1,1.9,1.2,3.0,4.2,10.8,2.2,0.2,3.3,1.7,10.3,.475,.491,.233,.482,.568,.495
2246,Rajon Rondo,2011-12,25,BOS,NBA,53,53,1957,4.7,10.5,4.5,9.7,0.2,0.8,2.0,3.3,1.1,3.6,4.7,11.4,1.7,0.1,3.6,1.8,11.6,.448,.464,.238,.456,.597,.483
2247,Rajon Rondo,2014-15,28,TOT,NBA,68,68,2018,4.9,11.5,4.4,10.0,0.5,1.5,0.6,1.4,1.3,5.4,6.7,9.6,1.6,0.1,3.7,2.7,10.8,.426,.444,.314,.447,.397,.448
