
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3336,Delaney Rudd,1989-90,27,UTA,NBA,77,2,850,8.6,.216,.205,1.8,5.6,3.8,29.4,1.3,0.1,23.8,19.0,94,110,-0.6,0.7,0.1,.004,-3.3,-2.6,-5.9,-0.8
3337,Delaney Rudd,1990-91,28,UTA,NBA,82,0,874,11.8,.214,.249,2.0,6.6,4.4,36.9,2.1,0.1,24.4,21.2,97,108,-0.3,0.9,0.6,.033,-2.3,-2.4,-4.6,-0.6
3338,Delaney Rudd,1991-92,29,UTA,NBA,65,0,538,10.0,.250,.223,3.3,7.8,5.7,28.5,1.4,0.1,19.2,20.5,97,109,-0.2,0.5,0.3,.028,-2.1,-2.2,-4.3,-0.3
3339,Delaney Rudd,1992-93,30,POR,NBA,15,1,95,1.7,.306,.389,4.5,5.9,5.2,23.2,0.5,0.0,20.7,23.0,73,111,-0.4,0.1,-0.3,-.151,-7.8,-3.5,-11.3,-0.2
3340,Guy Rucker,2002-03,25,GSW,NBA,3,0,4,7.8,,,0.0,26.3,13.3,32.3,0.0,0.0,,0.0,214,109,0.0,0.0,0.0,.117,-4.1,-1.1,-5.2,0.0
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3341,Ricky Rubio,2011-12,21,MIN,NBA,41,31,1404,14.6,.242,.404,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,99,104,0.5,1.5,2.0,.070,-0.2,1.1,0.9,1.0
3342,Ricky Rubio,2012-13,22,MIN,NBA,57,47,1691,16.2,.179,.514,2.9,12.9,7.7,38.8,4.2,0.2,21.4,21.2,99,102,0.4,2.6,3.0,.085,0.0,1.8,1.8,1.6
3343,Ricky Rubio,2013-14,23,MIN,NBA,82,82,2638,15.4,.199,.422,2.5,11.9,7.1,37.8,3.6,0.3,21.8,16.4,106,104,2.2,3.6,5.9,.107,0.0,1.5,1.5,2.3
3344,Ricky Rubio,2014-15,24,MIN,NBA,22,22,692,15.2,.233,.324,3.0,18.1,10.3,43.5,2.8,0.1,20.4,20.0,98,110,0.1,0.4,0.5,.033,0.1,-0.5,-0.5,0.3
3345,Ricky Rubio,2015-16,25,MIN,NBA,76,76,2323,17.6,.324,.536,2.0,14.1,8.2,41.4,3.5,0.4,21.0,17.7,110,107,3.6,2.2,5.8,.119,1.8,0.1,1.9,2.3
3346,Terry Rozier,2015-16,21,BOS,NBA,39,0,311,5.0,.255,.094,8.1,13.5,10.8,16.5,0.9,0.3,14.7,17.7,81,107,-0.6,0.3,-0.3,-.047,-5.9,-0.8,-6.6,-0.4
3347,Clifford Rozier,1994-95,22,GSW,NBA,66,34,1494,11.5,.018,.390,14.7,21.4,18.0,4.4,1.1,1.8,16.3,15.4,100,110,0.1,1.2,1.3,.043,-3.0,-0.1,-3.2,-0.4
3348,Clifford Rozier,1995-96,23,GSW,NBA,59,1,723,10.6,.015,.407,11.2,16.1,13.6,4.6,1.4,3.0,20.1,12.0,107,109,0.4,0.6,1.1,.072,-2.1,0.8,-1.3,0.1
3349,Clifford Rozier,1996-97,24,TOT,NBA,42,29,737,14.5,.011,.351,15.7,21.6,18.6,6.8,1.7,4.8,12.6,14.0,107,104,0.6,1.0,1.6,.102,-2.4,2.0,-0.4,0.3
3350,Clifford Rozier,1997-98,25,MIN,NBA,6,0,30,-1.7,.000,.167,11.5,11.2,11.4,0.0,0.0,0.0,38.3,15.5,66,112,-0.1,0.0,-0.1,-.140,-9.3,-5.3,-14.6,-0.1
3351,Donald Royal,1989-90,23,MIN,NBA,66,0,746,15.2,.004,.773,10.4,11.7,11.0,9.4,2.3,0.7,19.2,25.0,105,109,0.6,0.7,1.3,.087,-1.3,-1.4,-2.7,-0.1
3352,Donald Royal,1991-92,25,SAS,NBA,60,4,718,11.7,.000,.747,10.0,8.9,9.4,6.4,1.7,0.6,14.2,16.2,110,107,0.7,0.8,1.6,.105,-1.5,-0.4,-1.9,0.0
3353,Donald Royal,1992-93,26,ORL,NBA,77,0,1636,14.5,.008,.997,8.5,11.7,10.2,7.0,1.1,0.9,16.7,17.8,119,109,3.5,1.5,5.1,.149,0.2,-0.2,0.0,0.8
