
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4449,George Lynch,1995-96,25,LAL,NBA,76,6,1012,4.2,9.7,4.0,9.2,0.1,0.5,1.9,2.8,2.9,4.5,7.4,1.8,1.7,0.4,1.4,3.8,10.4,.430,.436,.308,.438,.663,.474
4450,George Lynch,1997-98,27,VAN,NBA,82,0,1493,6.0,12.4,5.8,11.7,0.2,0.7,2.7,3.8,3.5,5.2,8.7,2.9,1.6,1.0,2.5,3.9,14.9,.481,.492,.300,.489,.703,.526
4451,George Lynch,1998-99,28,PHI,NBA,43,43,1315,4.0,9.6,3.8,8.9,0.2,0.6,1.5,2.3,3.0,4.6,7.6,2.1,2.3,0.6,2.2,3.9,9.7,.421,.423,.391,.434,.631,.461
4452,George Lynch,1999-00,29,PHI,NBA,75,75,2416,4.4,9.6,4.2,9.1,0.2,0.5,1.7,2.7,3.2,5.5,8.7,2.0,1.8,0.6,1.8,3.4,10.8,.461,.464,.417,.473,.617,.498
4453,George Lynch,2000-01,30,PHI,NBA,82,80,2649,3.7,8.4,3.5,7.6,0.2,0.8,1.7,2.3,2.7,5.3,8.0,1.9,1.3,0.4,1.5,3.0,9.3,.445,.463,.263,.457,.719,.496
4454,George Lynch,2002-03,32,NOH,NBA,81,32,1497,3.5,8.6,2.9,6.7,0.7,1.9,1.0,1.8,3.3,5.1,8.5,2.5,1.6,0.5,1.3,3.3,8.7,.409,.425,.354,.448,.554,.464
4455,George Lynch,2003-04,33,NOH,NBA,78,51,1701,3.2,7.9,2.2,5.0,0.9,2.9,0.7,1.1,2.0,4.6,6.6,2.5,1.0,0.4,1.4,3.4,7.9,.397,.449,.309,.455,.667,.472
4456,Trey Lyles,2015-16,20,UTA,NBA,80,33,1382,5.0,11.4,3.7,8.0,1.3,3.3,1.5,2.1,1.5,6.3,7.8,1.5,0.7,0.5,1.7,3.0,12.7,.438,.461,.383,.494,.695,.517
4457,Ray Lumpp,1951-52,28,NYK,NBA,62,,1317,5.0,13.0,5.0,13.0,,,2.5,3.3,,,3.4,3.4,,,,4.5,12.5,.387,.387,,.387,.756,.433
4458,Ray Lumpp,1952-53,29,TOT,NBA,55,,1422,4.8,12.8,4.8,12.8,,,3.9,5.2,,,3.6,4.3,,,,4.5,13.4,.372,.372,,.372,.743,.443
4459,Tyronn Lue,2001-02,24,WAS,NBA,71,0,1458,5.5,12.8,3.9,9.4,1.6,3.5,1.2,1.6,0.3,2.7,3.0,6.1,1.2,0.0,2.4,3.0,13.7,.427,.420,.447,.488,.762,.507
4460,Tyronn Lue,2002-03,25,WAS,NBA,75,24,1986,4.5,10.4,3.4,7.2,1.1,3.2,1.6,1.9,0.4,2.3,2.7,4.8,0.9,0.0,1.4,2.7,11.7,.433,.474,.341,.485,.875,.523
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4461,Tyronn Lue,2003-04,26,ORL,NBA,76,69,2332,4.8,11.0,3.5,7.8,1.2,3.2,1.6,2.0,0.4,2.5,2.9,4.9,0.9,0.1,1.9,2.9,12.3,.433,.453,.383,.489,.771,.518
4462,Tyronn Lue,2004-05,27,TOT,NBA,70,49,2007,5.3,11.7,4.3,9.0,1.0,2.8,2.5,3.0,0.3,2.4,2.7,5.8,0.6,0.0,1.9,3.0,14.1,.451,.481,.355,.493,.861,.542
4463,Ted Luckenbill,1961-62,22,PHW,NBA,67,,396,3.9,10.9,3.9,10.9,,,4.5,6.9,,,10.0,2.5,,,,6.1,12.3,.358,.358,,.358,.645,.440
4464,Maurice Lucas,1976-77,24,POR,NBA,79,,2863,7.9,17.1,7.9,17.1,,,4.2,5.5,3.4,7.9,11.3,2.9,1.0,0.7,,3.7,20.1,.466,.466,,.466,.765,.516
4465,Maurice Lucas,1977-78,25,POR,NBA,68,,2119,7.7,16.8,7.7,16.8,,,3.5,4.6,3.2,7.4,10.6,2.9,1.0,1.0,3.3,3.8,18.9,.458,.458,,.458,.767,.502
4466,Maurice Lucas,1978-79,26,POR,NBA,69,,2462,8.3,17.7,8.3,17.7,,,3.9,5.0,2.8,7.7,10.5,3.1,1.0,1.2,3.4,3.7,20.6,.470,.470,,.470,.783,.517
4467,Maurice Lucas,1980-81,28,NJN,NBA,68,,2162,6.7,13.9,6.7,13.9,0.0,0.0,3.2,4.2,2.5,7.0,9.6,2.9,0.9,1.0,2.9,4.3,16.6,.484,.485,.000,.484,.752,.528
4468,Maurice Lucas,1981-82,29,NYK,NBA,80,74,2671,6.8,13.5,6.8,13.5,0.0,0.0,3.4,4.7,3.7,8.5,12.2,2.4,0.9,0.9,2.3,4.2,17.0,.504,.506,.000,.504,.725,.547
4469,Maurice Lucas,1982-83,30,PHO,NBA,77,71,2586,6.9,14.5,6.9,14.5,0.0,0.0,3.9,5.0,2.8,8.3,11.1,3.0,0.8,0.6,3.1,3.8,17.7,.474,.474,.333,.474,.781,.528
4470,Maurice Lucas,1983-84,31,PHO,NBA,75,69,2309,7.0,14.2,7.0,14.1,0.0,0.1,4.6,6.0,3.2,8.1,11.3,3.2,0.9,0.6,2.8,3.7,18.6,.497,.499,.000,.497,.765,.555
4471,Maurice Lucas,1985-86,33,LAL,NBA,77,8,1750,6.2,13.4,6.2,13.4,0.0,0.0,3.7,4.7,3.4,8.3,11.6,1.7,0.9,0.5,2.5,5.2,16.1,.462,.462,.500,.463,.783,.520
4472,Maurice Lucas,1987-88,35,POR,NBA,73,0,1191,5.1,11.3,5.1,11.2,0.0,0.1,3.3,4.5,3.1,6.5,9.5,2.8,1.0,0.3,2.2,5.7,13.5,.450,.454,.000,.450,.736,.508
4473,John Lucas,1976-77,23,HOU,NBA,82,,2531,5.5,11.6,5.5,11.6,,,1.9,2.4,0.8,2.3,3.1,6.6,1.8,0.3,,2.5,13.0,.477,.477,,.477,.789,.512
4474,John Lucas,1977-78,24,HOU,NBA,82,,2933,5.1,11.6,5.1,11.6,,,2.4,3.1,0.6,2.5,3.1,9.4,2.0,0.1,2.6,2.6,12.5,.435,.435,,.435,.772,.481
4475,John Lucas,1978-79,25,GSW,NBA,82,,3095,6.2,13.3,6.2,13.3,,,3.1,3.7,0.8,2.1,2.9,8.9,1.8,0.1,3.0,2.7,15.4,.462,.462,,.462,.822,.514
4476,John Lucas,1979-80,26,GSW,NBA,80,,2763,5.1,10.8,4.9,10.3,0.2,0.5,2.9,3.8,0.8,2.1,2.9,7.8,1.8,0.0,2.4,2.6,13.2,.467,.477,.286,.475,.768,.528
4477,John Lucas,1981-82,28,WSB,NBA,79,53,1940,4.9,11.5,4.8,11.1,0.0,0.4,2.6,3.3,0.7,2.3,3.1,10.2,1.8,0.1,2.9,1.9,12.4,.426,.438,.091,.427,.784,.479
4478,John Lucas,1985-86,32,HOU,NBA,65,65,2120,6.2,13.9,5.4,11.4,0.8,2.5,3.9,5.1,0.6,1.9,2.4,9.7,1.3,0.1,2.5,2.1,17.1,.446,.476,.308,.474,.775,.530
4479,John Lucas,1987-88,34,MIL,NBA,81,22,1766,5.7,12.9,4.7,9.8,1.0,3.1,2.7,3.3,0.6,2.7,3.2,8.0,1.8,0.1,2.5,2.1,15.1,.445,.479,.338,.486,.802,.529
4480,John Lucas,1988-89,35,SEA,NBA,74,8,842,5.1,12.8,4.3,9.9,0.8,2.9,2.3,3.3,0.9,2.4,3.4,11.1,2.6,0.0,2.8,2.3,13.3,.398,.437,.265,.428,.701,.466
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4481,Jerry Lucas*,1963-64,23,CIN,NBA,79,,3273,6.0,11.4,6.0,11.4,,,3.4,4.4,,,15.1,2.2,,,,3.3,15.4,.527,.527,,.527,.779,.578
4482,Jerry Lucas*,1964-65,24,CIN,NBA,66,,2864,7.0,14.1,7.0,14.1,,,3.7,4.6,,,16.6,2.0,,,,2.7,17.8,.498,.498,,.498,.814,.551
4483,Jerry Lucas*,1965-66,25,CIN,NBA,79,,3517,7.1,15.6,7.1,15.6,,,3.2,4.1,,,17.1,2.2,,,,2.8,17.4,.453,.453,,.453,.787,.499
4484,Jerry Lucas*,1966-67,26,CIN,NBA,81,,3558,5.8,12.7,5.8,12.7,,,2.9,3.6,,,15.7,2.7,,,,2.8,14.5,.459,.459,,.459,.791,.508
4485,Jerry Lucas*,1967-68,27,CIN,NBA,82,,3619,7.0,13.5,7.0,13.5,,,3.4,4.4,,,15.5,2.5,,,,2.4,17.5,.519,.519,,.519,.778,.565
4486,Jerry Lucas*,1968-69,28,CIN,NBA,74,,3075,6.5,11.8,6.5,11.8,,,2.9,3.8,,,15.9,3.6,,,,2.4,15.9,.551,.551,,.551,.755,.590
4487,Jerry Lucas*,1970-71,30,SFW,NBA,80,,3251,6.9,13.8,6.9,13.8,,,3.2,4.1,,,14.0,3.2,,,,2.2,17.0,.498,.498,,.498,.787,.544
4488,Jerry Lucas*,1971-72,31,NYK,NBA,77,,2926,6.7,13.0,6.7,13.0,,,2.4,3.1,,,12.4,3.9,,,,2.7,15.8,.512,.512,,.512,.791,.548
4489,Jerry Lucas*,1972-73,32,NYK,NBA,71,,2001,5.6,10.9,5.6,10.9,,,1.4,1.8,,,9.2,5.7,,,,2.8,12.7,.513,.513,,.513,.800,.540
4490,Jerry Lucas*,1973-74,33,NYK,NBA,73,,1627,4.3,9.3,4.3,9.3,,,1.5,2.1,1.4,6.9,8.3,5.1,0.6,0.5,,3.0,10.1,.462,.462,,.462,.698,.492
4491,Kyle Lowry,2007-08,21,MEM,NBA,82,9,2089,4.4,10.2,3.8,7.8,0.6,2.4,4.2,6.0,0.7,3.6,4.3,5.1,1.6,0.4,2.2,3.2,13.6,.432,.487,.257,.463,.698,.531
4492,Kyle Lowry,2008-09,22,TOT,NBA,77,21,1679,4.1,9.3,3.5,7.2,0.5,2.1,3.9,4.8,0.6,3.5,4.1,5.9,1.5,0.4,2.5,3.1,12.5,.435,.488,.255,.464,.801,.547
4493,Kyle Lowry,2010-11,24,HOU,NBA,75,71,2563,4.8,11.4,3.0,6.5,1.8,4.8,2.7,3.5,1.3,3.1,4.3,7.0,1.4,0.3,2.2,2.9,14.2,.426,.464,.376,.506,.765,.550
4494,Kyle Lowry,2012-13,26,TOR,NBA,68,52,2020,4.5,11.1,2.7,6.1,1.8,5.0,3.4,4.3,1.0,4.7,5.7,7.8,1.7,0.4,2.8,3.9,14.1,.401,.433,.362,.482,.795,.543
4495,Kyle Lowry,2013-14,27,TOR,NBA,79,79,2862,5.7,13.6,3.4,7.3,2.4,6.3,3.9,4.8,1.1,3.5,4.6,7.4,1.5,0.2,2.4,3.4,17.8,.423,.460,.380,.511,.813,.567
4496,Kyle Lowry,2014-15,28,TOR,NBA,70,70,2414,6.4,15.6,4.4,9.7,2.0,5.8,3.8,4.7,0.8,4.1,4.9,7.1,1.6,0.2,2.6,3.2,18.6,.412,.457,.338,.476,.808,.527
4497,Kyle Lowry,2015-16,29,TOR,NBA,77,77,2851,6.5,15.1,3.8,8.2,2.7,6.9,5.0,6.2,0.7,3.9,4.6,6.2,2.0,0.4,2.8,2.7,20.6,.427,.461,.388,.516,.811,.578
4498,Sidney Lowe,1983-84,24,IND,NBA,78,2,1238,3.1,7.5,3.1,7.0,0.1,0.5,3.1,4.0,0.9,2.7,3.5,7.8,2.7,0.1,3.1,3.3,9.4,.413,.436,.111,.417,.777,.506
4499,Sidney Lowe,1989-90,30,MIN,NBA,80,38,1744,1.5,4.7,1.5,4.5,0.0,0.2,0.8,1.1,0.8,2.5,3.4,7.0,1.5,0.1,1.3,2.4,3.9,.319,.323,.222,.323,.722,.370
4500,Clyde Lovellette*,1953-54,24,MNL,NBA,72,,1255,6.8,16.1,6.8,16.1,,,3.3,4.7,,,12.0,1.5,,,,6.0,16.9,.423,.423,,.423,.695,.465
